DATE,CLOSE,VOLUME
2017-10-01,4403.740234,1208210048
2017-10-02,4409.319824,1431730048
2017-10-03,4317.47998,1288019968
2017-10-04,4229.359863,1116770048
2017-10-05,4328.410156,1161769984
2017-10-06,4370.810059,1069939968
2017-10-07,4426.890137,906928000
2017-10-08,4610.47998,1313869952
2017-10-09,4772.02002,1968739968
2017-10-10,4781.990234,1597139968
2017-10-11,4826.47998,1222279936
2017-10-12,5446.910156,2791610112
2017-10-13,5647.209961,3615480064
2017-10-14,5831.790039,1669030016
2017-10-15,5678.189941,1976039936
2017-10-16,5725.589844,2008070016
2017-10-17,5605.509766,1821570048
2017-10-18,5590.689941,2399269888
2017-10-19,5708.52002,1780540032
2017-10-20,6011.450195,2354429952
2017-10-21,6031.600098,2207099904
2017-10-22,6008.419922,2034630016
2017-10-23,5930.319824,2401840128
2017-10-24,5526.640137,2735699968
2017-10-25,5750.799805,1966989952
2017-10-26,5904.830078,1905040000
2017-10-27,5780.899902,1710130048
2017-10-28,5753.089844,1403920000
2017-10-29,6153.850098,2859040000
2017-10-30,6130.529785,1772150016
2017-10-31,6468.399902,2311379968
2017-11-01,6767.310059,2870320128
2017-11-02,7078.5,4653770240
2017-11-03,7207.759766,3369860096
2017-11-04,7379.950195,2483800064
2017-11-05,7407.410156,2380410112
2017-11-06,7022.759766,3111899904
2017-11-07,7144.379883,2326340096
2017-11-08,7459.689941,4602200064
2017-11-09,7143.580078,3226249984
2017-11-10,6618.140137,5208249856
2017-11-11,6357.600098,4908680192
2017-11-12,5950.069824,8957349888
2017-11-13,6559.490234,6263249920
2017-11-14,6635.75,3197110016
2017-11-15,7315.540039,4200880128
2017-11-16,7871.689941,5123809792
2017-11-17,7708.990234,4651670016
2017-11-18,7790.149902,3667190016
2017-11-19,8036.490234,3149319936
2017-11-20,8200.639648,3488450048
2017-11-21,8071.259766,4277609984
2017-11-22,8253.549805,3633530112
2017-11-23,8038.77002,4225179904
2017-11-24,8253.69043,5058610176
2017-11-25,8790.919922,4342060032
2017-11-26,9330.549805,5475579904
2017-11-27,9818.349609,5653320192
2017-11-28,10058.799805,6348819968
2017-11-29,9888.610352,11568799744
2017-11-30,10233.599609,8310689792
2017-12-01,10975.599609,6783119872
2017-12-02,11074.599609,5138500096
2017-12-03,11323.200195,6608309760
2017-12-04,11657.200195,6132409856
2017-12-05,11916.700195,6895260160
2017-12-06,14291.5,12656300032
2017-12-07,17899.699219,17950699520
2017-12-08,16569.400391,21135998976
2017-12-09,15178.200195,13911300096
2017-12-10,15455.400391,13433299968
2017-12-11,16936.800781,12153900032
2017-12-12,17415.400391,14603799552
2017-12-13,16408.199219,12976900096
2017-12-14,16564.0,13777399808
2017-12-15,17706.900391,14309999616
2017-12-16,19497.400391,12740599808
2017-12-17,19140.800781,13314599936
2017-12-18,19114.199219,14839499776
2017-12-19,17776.699219,16894499840
2017-12-20,16624.599609,22149699584
2017-12-21,15802.900391,16516599808
2017-12-22,13831.799805,22197999616
2017-12-23,14699.200195,13086000128
2017-12-24,13925.799805,11572299776
2017-12-25,14026.599609,10664699904
2017-12-26,16099.799805,13454300160
2017-12-27,15838.5,12487600128
2017-12-28,14606.5,12336499712
2017-12-29,14656.200195,13025500160
2017-12-30,12952.200195,14452599808
2017-12-31,14156.400391,12136299520
2018-01-01,13657.200195,10291200000
2018-01-02,14982.099609,16846600192
2018-01-03,15201.0,16871900160
2018-01-04,15599.200195,21783199744
2018-01-05,17429.5,23840899072
2018-01-06,17527.0,18314600448
2018-01-07,16477.599609,15866000384
2018-01-08,15170.099609,18413899776
2018-01-09,14595.400391,16659999744
2018-01-10,14973.299805,18500800512
2018-01-11,13405.799805,16534099968
2018-01-12,13980.599609,12065699840
2018-01-13,14360.200195,12763599872
2018-01-14,13772.0,11084099584
2018-01-15,13819.799805,12750799872
2018-01-16,11490.5,18853799936
2018-01-17,11188.599609,18830600192
2018-01-18,11474.900391,15020399616
2018-01-19,11607.400391,10740400128
2018-01-20,12899.200195,11801700352
2018-01-21,11600.099609,9935179776
2018-01-22,10931.400391,10537400320
2018-01-23,10868.400391,9660609536
2018-01-24,11359.400391,9940989952
2018-01-25,11259.400391,8873169920
2018-01-26,11171.400391,9746199552
2018-01-27,11440.700195,7583269888
2018-01-28,11786.299805,8350360064
2018-01-29,11296.400391,7107359744
2018-01-30,10106.299805,8637859840
2018-01-31,10221.099609,8041160192
2018-02-01,9170.540039,9959400448
2018-02-02,8830.75,12726899712
2018-02-03,9174.910156,7263790080
